Neighborhood,Crime,Number of Cases,Date
Como,Robbery,0.0,2018-01-01
Cooper,Aggravated Assault,0.0,2018-01-01
Cooper,Arson,0.0,2018-01-01
Cooper,Auto Theft,1.0,2018-01-01
Cooper,Burglary,2.0,2018-01-01
Cooper,Homicide,0.0,2018-01-01
Cooper,Larceny,7.0,2018-01-01
Cooper,Rape,0.0,2018-01-01
Cooper,Robbery,0.0,2018-01-01
Corcoran,Aggravated Assault,1.0,2018-01-01
Corcoran,Arson,0.0,2018-01-01
Corcoran,Auto Theft,1.0,2018-01-01
Corcoran,Burglary,2.0,2018-01-01
Corcoran,Homicide,0.0,2018-01-01
Corcoran,Larceny,4.0,2018-01-01
Corcoran,Rape,0.0,2018-01-01
Corcoran,Robbery,2.0,2018-01-01
Diamond Lake,Aggravated Assault,0.0,2018-01-01
Diamond Lake,Arson,0.0,2018-01-01
Diamond Lake,Auto Theft,2.0,2018-01-01
Diamond Lake,Burglary,1.0,2018-01-01
Diamond Lake,Homicide,0.0,2018-01-01
Diamond Lake,Larceny,2.0,2018-01-01
Diamond Lake,Rape,0.0,2018-01-01
Diamond Lake,Robbery,0.0,2018-01-01
Downtown East,Aggravated Assault,2.0,2018-01-01
Downtown East,Arson,0.0,2018-01-01
Downtown East,Auto Theft,2.0,2018-01-01
Downtown East,Burglary,0.0,2018-01-01
Downtown East,Homicide,0.0,2018-01-01
Downtown East,Larceny,29.0,2018-01-01
Downtown East,Rape,0.0,2018-01-01
Downtown East,Robbery,0.0,2018-01-01
Downtown West,Aggravated Assault,16.0,2018-01-01
Downtown West,Arson,0.0,2018-01-01
Downtown West,Auto Theft,11.0,2018-01-01
Downtown West,Burglary,3.0,2018-01-01
Downtown West,Homicide,0.0,2018-01-01
Downtown West,Larceny,96.0,2018-01-01
Downtown West,Rape,0.0,2018-01-01
Downtown West,Robbery,7.0,2018-01-01
East Harriet,Aggravated Assault,0.0,2018-01-01
East Harriet,Arson,0.0,2018-01-01
East Harriet,Auto Theft,1.0,2018-01-01
East Harriet,Burglary,4.0,2018-01-01
East Harriet,Homicide,0.0,2018-01-01
East Harriet,Larceny,9.0,2018-01-01
East Harriet,Rape,0.0,2018-01-01
East Harriet,Robbery,1.0,2018-01-01
East Isles,Aggravated Assault,2.0,2018-01-01
East Isles,Arson,0.0,2018-01-01
East Isles,Auto Theft,2.0,2018-01-01
