Date,Neighborhood,Crime,Number of Cases
6/2020,Armatage,Aggravated Assault,1.0
6/2020,Armatage,Arson,0.0
6/2020,Armatage,Auto Theft,2.0
6/2020,Armatage,Burglary,1.0
6/2020,Armatage,Homicide,0.0
6/2020,Armatage,Larceny,1.0
6/2020,Armatage,Rape,0.0
6/2020,Armatage,Robbery,0.0
6/2020,Audubon Park,Aggravated Assault,1.0
6/2020,Audubon Park,Arson,0.0
6/2020,Audubon Park,Auto Theft,2.0
6/2020,Audubon Park,Burglary,2.0
6/2020,Audubon Park,Homicide,0.0
6/2020,Audubon Park,Larceny,4.0
6/2020,Audubon Park,Rape,0.0
6/2020,Audubon Park,Robbery,2.0
6/2020,Bancroft,Aggravated Assault,3.0
6/2020,Bancroft,Arson,0.0
6/2020,Bancroft,Auto Theft,3.0
6/2020,Bancroft,Burglary,5.0
6/2020,Bancroft,Homicide,0.0
6/2020,Bancroft,Larceny,4.0
6/2020,Bancroft,Rape,0.0
6/2020,Bancroft,Robbery,4.0
6/2020,Beltrami,Aggravated Assault,1.0
6/2020,Beltrami,Arson,0.0
6/2020,Beltrami,Auto Theft,1.0
6/2020,Beltrami,Burglary,1.0
6/2020,Beltrami,Homicide,0.0
6/2020,Beltrami,Larceny,2.0
6/2020,Beltrami,Rape,0.0
6/2020,Beltrami,Robbery,0.0
6/2020,Bottineau,Aggravated Assault,3.0
6/2020,Bottineau,Arson,0.0
6/2020,Bottineau,Auto Theft,1.0
6/2020,Bottineau,Burglary,0.0
6/2020,Bottineau,Homicide,0.0
6/2020,Bottineau,Larceny,5.0
6/2020,Bottineau,Rape,0.0
6/2020,Bottineau,Robbery,1.0
6/2020,Bryant,Aggravated Assault,0.0
6/2020,Bryant,Arson,0.0
6/2020,Bryant,Auto Theft,1.0
6/2020,Bryant,Burglary,1.0
6/2020,Bryant,Homicide,0.0
6/2020,Bryant,Larceny,5.0
6/2020,Bryant,Rape,0.0
6/2020,Bryant,Robbery,2.0
6/2020,Bryn - Mawr,Aggravated Assault,0.0
6/2020,Bryn - Mawr,Arson,0.0
6/2020,Bryn - Mawr,Auto Theft,0.0
6/2020,Bryn - Mawr,Burglary,3.0
6/2020,Bryn - Mawr,Homicide,0.0
6/2020,Bryn - Mawr,Larceny,3.0
6/2020,Bryn - Mawr,Rape,0.0
6/2020,Bryn - Mawr,Robbery,0.0
6/2020,South Uptown,Aggravated Assault,0.0
6/2020,South Uptown,Arson,0.0
6/2020,South Uptown,Auto Theft,2.0
6/2020,South Uptown,Burglary,18.0
6/2020,South Uptown,Homicide,0.0
6/2020,South Uptown,Larceny,11.0
6/2020,South Uptown,Rape,0.0
6/2020,South Uptown,Robbery,1.0
6/2020,Camden Industrial,Aggravated Assault,0.0
6/2020,Camden Industrial,Arson,0.0
6/2020,Camden Industrial,Auto Theft,0.0
6/2020,Camden Industrial,Burglary,0.0
6/2020,Camden Industrial,Homicide,0.0
6/2020,Camden Industrial,Larceny,3.0
6/2020,Camden Industrial,Rape,0.0
6/2020,Camden Industrial,Robbery,1.0
6/2020,Cedar - Isles - Dean,Aggravated Assault,1.0
6/2020,Cedar - Isles - Dean,Arson,0.0
6/2020,Cedar - Isles - Dean,Auto Theft,0.0
6/2020,Cedar - Isles - Dean,Burglary,5.0
6/2020,Cedar - Isles - Dean,Homicide,0.0
6/2020,Cedar - Isles - Dean,Larceny,8.0
6/2020,Cedar - Isles - Dean,Rape,0.0
