Date,Neighborhood,Crime,Number of Cases
12/2021,Field,Aggravated Assault,1.0
12/2021,Field,Arson,0.0
12/2021,Field,Auto Theft,4.0
12/2021,Field,Burglary,0.0
12/2021,Field,Homicide,0.0
12/2021,Field,Larceny,2.0
12/2021,Field,Rape,0.0
12/2021,Field,Robbery,2.0
12/2021,Folwell,Aggravated Assault,6.0
12/2021,Folwell,Arson,1.0
12/2021,Folwell,Auto Theft,9.0
12/2021,Folwell,Burglary,0.0
12/2021,Folwell,Homicide,0.0
12/2021,Folwell,Larceny,6.0
12/2021,Folwell,Rape,1.0
12/2021,Folwell,Robbery,3.0
12/2021,Fulton,Aggravated Assault,0.0
12/2021,Fulton,Arson,0.0
12/2021,Fulton,Auto Theft,1.0
12/2021,Fulton,Burglary,0.0
12/2021,Fulton,Homicide,0.0
12/2021,Fulton,Larceny,3.0
12/2021,Fulton,Rape,0.0
12/2021,Fulton,Robbery,0.0
12/2021,Hale,Aggravated Assault,0.0
12/2021,Hale,Arson,0.0
12/2021,Hale,Auto Theft,0.0
12/2021,Hale,Burglary,0.0
12/2021,Hale,Homicide,0.0
12/2021,Hale,Larceny,3.0
12/2021,Hale,Rape,0.0
12/2021,Hale,Robbery,2.0
12/2021,Harrison,Aggravated Assault,4.0
12/2021,Harrison,Arson,0.0
12/2021,Harrison,Auto Theft,5.0
12/2021,Harrison,Burglary,3.0
12/2021,Harrison,Homicide,0.0
12/2021,Harrison,Larceny,5.0
12/2021,Harrison,Rape,0.0
12/2021,Harrison,Robbery,3.0
12/2021,Hawthorne,Aggravated Assault,8.0
12/2021,Hawthorne,Arson,1.0
12/2021,Hawthorne,Auto Theft,10.0
12/2021,Hawthorne,Burglary,2.0
12/2021,Hawthorne,Homicide,2.0
12/2021,Hawthorne,Larceny,16.0
12/2021,Hawthorne,Rape,0.0
12/2021,Hawthorne,Robbery,4.0
12/2021,Hiawatha,Aggravated Assault,2.0
12/2021,Hiawatha,Arson,0.0
12/2021,Hiawatha,Auto Theft,6.0
12/2021,Hiawatha,Burglary,2.0
12/2021,Hiawatha,Homicide,0.0
12/2021,Hiawatha,Larceny,22.0
12/2021,Hiawatha,Rape,0.0
12/2021,Hiawatha,Robbery,2.0
