Date,Neighborhood,Crime,Number of Cases
5/2018,Downtown East,Rape,0.0
5/2018,Downtown East,Robbery,0.0
5/2018,Downtown West,Aggravated Assault,8.0
5/2018,Downtown West,Arson,0.0
5/2018,Downtown West,Auto Theft,12.0
5/2018,Downtown West,Burglary,6.0
5/2018,Downtown West,Homicide,0.0
5/2018,Downtown West,Larceny,115.0
5/2018,Downtown West,Rape,6.0
5/2018,Downtown West,Robbery,11.0
5/2018,East Harriet,Aggravated Assault,0.0
5/2018,East Harriet,Arson,0.0
5/2018,East Harriet,Auto Theft,0.0
5/2018,East Harriet,Burglary,1.0
5/2018,East Harriet,Homicide,0.0
5/2018,East Harriet,Larceny,8.0
5/2018,East Harriet,Rape,0.0
5/2018,East Harriet,Robbery,0.0
5/2018,East Isles,Aggravated Assault,3.0
5/2018,East Isles,Arson,0.0
5/2018,East Isles,Auto Theft,1.0
5/2018,East Isles,Burglary,0.0
5/2018,East Isles,Homicide,0.0
5/2018,East Isles,Larceny,18.0
5/2018,East Isles,Rape,0.0
5/2018,East Isles,Robbery,0.0
5/2018,East Phillips,Aggravated Assault,15.0
5/2018,East Phillips,Arson,1.0
5/2018,East Phillips,Auto Theft,3.0
5/2018,East Phillips,Burglary,3.0
5/2018,East Phillips,Homicide,0.0
5/2018,East Phillips,Larceny,20.0
5/2018,East Phillips,Rape,0.0
5/2018,East Phillips,Robbery,4.0
5/2018,East Bde Maka Ska,Aggravated Assault,0.0
5/2018,East Bde Maka Ska,Arson,0.0
5/2018,East Bde Maka Ska,Auto Theft,0.0
5/2018,East Bde Maka Ska,Burglary,5.0
5/2018,East Bde Maka Ska,Homicide,0.0
5/2018,East Bde Maka Ska,Larceny,16.0
5/2018,East Bde Maka Ska,Rape,0.0
5/2018,East Bde Maka Ska,Robbery,0.0
5/2018,Elliot Park,Aggravated Assault,4.0
5/2018,Elliot Park,Arson,0.0
5/2018,Elliot Park,Auto Theft,2.0
5/2018,Elliot Park,Burglary,1.0
5/2018,Elliot Park,Homicide,0.0
5/2018,Elliot Park,Larceny,39.0
5/2018,Elliot Park,Rape,8.0
5/2018,Elliot Park,Robbery,2.0
5/2018,Ericsson,Aggravated Assault,0.0
5/2018,Ericsson,Arson,0.0
5/2018,Ericsson,Auto Theft,1.0
5/2018,Ericsson,Burglary,1.0
5/2018,Ericsson,Homicide,0.0
5/2018,Ericsson,Larceny,2.0
5/2018,Ericsson,Rape,0.0
5/2018,Ericsson,Robbery,0.0
5/2018,Field,Aggravated Assault,0.0
5/2018,Field,Arson,0.0
5/2018,Field,Auto Theft,0.0
5/2018,Field,Burglary,2.0
5/2018,Field,Homicide,0.0
5/2018,Field,Larceny,3.0
5/2018,Field,Rape,0.0
5/2018,Field,Robbery,0.0
5/2018,Folwell,Aggravated Assault,14.0
5/2018,Folwell,Arson,0.0
5/2018,Folwell,Auto Theft,5.0
5/2018,Folwell,Burglary,6.0
5/2018,Folwell,Homicide,1.0
5/2018,Folwell,Larceny,11.0
5/2018,Folwell,Rape,0.0
5/2018,Folwell,Robbery,2.0
5/2018,Fulton,Aggravated Assault,0.0
5/2018,Fulton,Arson,0.0
5/2018,Fulton,Auto Theft,4.0
5/2018,Fulton,Burglary,4.0
5/2018,Fulton,Homicide,0.0
5/2018,Fulton,Larceny,6.0
5/2018,Fulton,Rape,0.0
5/2018,Fulton,Robbery,0.0
5/2018,Hale,Aggravated Assault,0.0
5/2018,Hale,Arson,0.0
5/2018,Hale,Auto Theft,1.0
5/2018,Hale,Burglary,2.0
5/2018,Hale,Homicide,0.0
5/2018,Hale,Larceny,1.0
5/2018,Hale,Rape,0.0
5/2018,Hale,Robbery,0.0
5/2018,Harrison,Aggravated Assault,2.0
5/2018,Harrison,Arson,0.0
5/2018,Harrison,Auto Theft,2.0
5/2018,Harrison,Burglary,3.0
5/2018,Harrison,Homicide,0.0
5/2018,Harrison,Larceny,7.0
5/2018,Harrison,Rape,0.0
5/2018,Harrison,Robbery,0.0
5/2018,Hawthorne,Aggravated Assault,7.0
5/2018,Hawthorne,Arson,0.0
5/2018,Hawthorne,Auto Theft,11.0
5/2018,Hawthorne,Burglary,6.0
5/2018,Hawthorne,Homicide,0.0
5/2018,Hawthorne,Larceny,12.0
5/2018,Hawthorne,Rape,1.0
5/2018,Hawthorne,Robbery,8.0
5/2018,Hiawatha,Aggravated Assault,0.0
5/2018,Hiawatha,Arson,0.0
5/2018,Hiawatha,Auto Theft,0.0
5/2018,Hiawatha,Burglary,4.0
5/2018,Hiawatha,Homicide,0.0
5/2018,Hiawatha,Larceny,10.0
5/2018,Hiawatha,Rape,0.0
5/2018,Hiawatha,Robbery,1.0
5/2018,Holland,Aggravated Assault,0.0
5/2018,Holland,Arson,0.0
5/2018,Holland,Auto Theft,1.0
5/2018,Holland,Burglary,4.0
5/2018,Holland,Homicide,0.0
5/2018,Holland,Larceny,11.0
5/2018,Holland,Rape,0.0
5/2018,Holland,Robbery,2.0
5/2018,Howe,Aggravated Assault,0.0
5/2018,Howe,Arson,0.0
5/2018,Howe,Auto Theft,0.0
5/2018,Howe,Burglary,2.0
5/2018,Howe,Homicide,0.0
5/2018,Howe,Larceny,9.0
5/2018,Howe,Rape,0.0
5/2018,Howe,Robbery,0.0
5/2018,Humboldt Industrial Area,Aggravated Assault,0.0
5/2018,Humboldt Industrial Area,Arson,0.0
5/2018,Humboldt Industrial Area,Auto Theft,0.0
5/2018,Humboldt Industrial Area,Burglary,1.0
5/2018,Humboldt Industrial Area,Homicide,0.0
5/2018,Humboldt Industrial Area,Larceny,0.0
5/2018,Humboldt Industrial Area,Rape,0.0
5/2018,Humboldt Industrial Area,Robbery,0.0
5/2018,Jordan,Aggravated Assault,10.0
5/2018,Jordan,Arson,0.0
5/2018,Jordan,Auto Theft,5.0
5/2018,Jordan,Burglary,6.0
5/2018,Jordan,Homicide,0.0
5/2018,Jordan,Larceny,19.0
5/2018,Jordan,Rape,4.0
5/2018,Jordan,Robbery,5.0
5/2018,Keewaydin,Aggravated Assault,1.0
5/2018,Keewaydin,Arson,0.0
5/2018,Keewaydin,Auto Theft,1.0
5/2018,Keewaydin,Burglary,1.0
5/2018,Keewaydin,Homicide,0.0
5/2018,Keewaydin,Larceny,3.0
5/2018,Keewaydin,Rape,0.0
5/2018,Keewaydin,Robbery,0.0
5/2018,Kenny,Aggravated Assault,0.0
5/2018,Kenny,Arson,0.0
5/2018,Kenny,Auto Theft,1.0
5/2018,Kenny,Burglary,4.0
5/2018,Kenny,Homicide,0.0
5/2018,Kenny,Larceny,3.0
5/2018,Kenny,Rape,0.0
5/2018,Kenny,Robbery,0.0
5/2018,Kenwood,Aggravated Assault,0.0
5/2018,Kenwood,Arson,0.0
5/2018,Kenwood,Auto Theft,0.0
5/2018,Kenwood,Burglary,1.0
5/2018,Kenwood,Homicide,0.0
5/2018,Kenwood,Larceny,3.0
5/2018,Kenwood,Rape,0.0
5/2018,Kenwood,Robbery,0.0
5/2018,King Field,Aggravated Assault,1.0
5/2018,King Field,Arson,0.0
5/2018,King Field,Auto Theft,2.0
